class,date
-1,"19/07/200811:55:00"
-1,"19/07/200812:32:00"
1,"19/07/200813:17:00"
-1,"19/07/200814:43:00"
-1,"19/07/200815:22:00"
-1,"19/07/200817:53:00"
-1,"19/07/200819:44:00"
-1,"19/07/200819:45:00"
-1,"19/07/200820:24:00"
-1,"19/07/200821:35:00"
1,"19/07/200821:57:00"
1,"19/07/200822:52:00"
-1,"20/07/200803:35:00"
-1,"21/07/200808:21:00"
1,"21/07/200811:53:00"
-1,"22/07/200800:03:00"
-1,"22/07/200802:59:00"
-1,"22/07/200808:41:00"
-1,"22/07/200811:47:00"
-1,"22/07/200814:00:00"
-1,"22/07/200815:30:00"
-1,"23/07/200805:15:00"
-1,"23/07/200819:22:00"
1,"25/07/200815:23:00"
-1,"27/07/200804:18:00"
-1,"27/07/200809:37:00"
-1,"27/07/200811:10:00"
-1,"27/07/200815:46:00"
-1,"27/07/200816:06:00"
-1,"27/07/200816:49:00"
-1,"27/07/200820:24:00"
-1,"27/07/200822:28:00"
-1,"27/07/200822:28:00"
-1,"27/07/200823:14:00"
-1,"28/07/200803:31:00"
-1,"28/07/200803:48:00"
-1,"28/07/200804:37:00"
-1,"28/07/200805:36:00"
1,"28/07/200806:45:00"
-1,"28/07/200808:36:00"
1,"28/07/200815:11:00"
-1,"28/07/200823:57:00"
-1,"29/07/200804:08:00"
-1,"29/07/200805:16:00"
-1,"29/07/200806:19:00"
1,"29/07/200808:23:00"
-1,"29/07/200811:47:00"
-1,"29/07/200815:41:00"
1,"29/07/200815:49:00"
1,"29/07/200817:05:00"
1,"29/07/200818:08:00"
-1,"29/07/200821:07:00"
-1,"29/07/200823:14:00"
-1,"29/07/200823:19:00"
-1,"30/07/200806:30:00"
-1,"30/07/200807:08:00"
-1,"30/07/200812:02:00"
1,"30/07/200812:29:00"
1,"30/07/200821:16:00"
-1,"31/07/200813:57:00"
-1,"31/07/200815:36:00"
-1,"31/07/200817:07:00"
1,"31/07/200820:18:00"
-1,"01/08/200802:02:00"
1,"01/08/200805:52:00"
-1,"01/08/200810:20:00"
-1,"01/08/200810:26:00"
-1,"01/08/200811:28:00"
-1,"01/08/200812:29:00"
-1,"01/08/200814:07:00"
-1,"01/08/200815:10:00"
-1,"02/08/200803:39:00"
-1,"03/08/200813:09:00"
-1,"03/08/200814:06:00"
-1,"03/08/200814:25:00"
-1,"03/08/200815:03:00"
-1,"03/08/200815:27:00"
-1,"03/08/200816:00:00"
-1,"03/08/200817:00:00"
-1,"03/08/200817:58:00"
-1,"03/08/200820:23:00"
-1,"03/08/200822:52:00"
1,"04/08/200800:39:00"
-1,"04/08/200803:45:00"
-1,"04/08/200803:49:00"
-1,"04/08/200813:19:00"
-1,"04/08/200814:04:00"
-1,"04/08/200814:31:00"
-1,"04/08/200815:29:00"
-1,"04/08/200816:15:00"
-1,"04/08/200816:31:00"
-1,"04/08/200817:11:00"
-1,"04/08/200817:46:00"
-1,"04/08/200818:24:00"
-1,"04/08/200819:58:00"
-1,"04/08/200820:32:00"
1,"04/08/200820:58:00"
-1,"04/08/200821:43:00"
-1,"04/08/200822:51:00"
-1,"04/08/200823:33:00"
-1,"05/08/200800:04:00"
-1,"05/08/200801:12:00"
-1,"05/08/200802:15:00"
-1,"05/08/200802:36:00"
-1,"05/08/200802:45:00"
-1,"05/08/200803:17:00"
-1,"05/08/200803:36:00"
-1,"05/08/200803:54:00"
-1,"05/08/200804:32:00"
-1,"05/08/200804:35:00"
-1,"05/08/200805:11:00"
-1,"05/08/200806:10:00"
-1,"05/08/200806:11:00"
-1,"05/08/200806:21:00"
-1,"05/08/200807:12:00"
1,"05/08/200807:12:00"
-1,"05/08/200807:48:00"
-1,"05/08/200808:50:00"
-1,"05/08/200809:48:00"
-1,"05/08/200814:17:00"
-1,"05/08/200814:45:00"
-1,"05/08/200815:45:00"
-1,"05/08/200820:04:00"
-1,"05/08/200821:07:00"
-1,"05/08/200821:22:00"
-1,"05/08/200823:02:00"
-1,"05/08/200823:06:00"
-1,"05/08/200823:38:00"
-1,"06/08/200800:04:00"
-1,"06/08/200802:20:00"
-1,"06/08/200803:22:00"
1,"06/08/200805:40:00"
-1,"06/08/200809:56:00"
-1,"06/08/200809:57:00"
-1,"06/08/200812:33:00"
-1,"06/08/200813:35:00"
-1,"06/08/200817:35:00"
-1,"06/08/200818:00:00"
-1,"06/08/200818:34:00"
-1,"06/08/200819:13:00"
-1,"06/08/200819:24:00"
-1,"06/08/200820:00:00"
-1,"06/08/200820:17:00"
-1,"06/08/200821:15:00"
-1,"06/08/200822:27:00"
-1,"06/08/200823:40:00"
-1,"06/08/200823:45:00"
-1,"07/08/200800:51:00"
-1,"07/08/200807:30:00"
-1,"07/08/200808:21:00"
-1,"07/08/200808:45:00"
-1,"07/08/200808:55:00"
-1,"07/08/200810:12:00"
-1,"07/08/200811:10:00"
1,"07/08/200811:40:00"
-1,"08/08/200804:55:00"
-1,"08/08/200807:26:00"
1,"08/08/200808:44:00"
1,"08/08/200812:37:00"
-1,"08/08/200820:21:00"
-1,"08/08/200821:22:00"
-1,"08/08/200821:53:00"
-1,"08/08/200822:06:00"
-1,"08/08/200822:25:00"
-1,"09/08/200802:15:00"
-1,"09/08/200802:37:00"
-1,"09/08/200806:05:00"
1,"09/08/200809:16:00"
-1,"09/08/200809:22:00"
1,"09/08/200811:42:00"
-1,"09/08/200817:34:00"
-1,"09/08/200819:03:00"
-1,"09/08/200820:04:00"
-1,"09/08/200821:07:00"
-1,"09/08/200822:15:00"
-1,"09/08/200822:37:00"
-1,"09/08/200823:17:00"
-1,"09/08/200823:34:00"
-1,"10/08/200800:09:00"
-1,"10/08/200800:46:00"
1,"10/08/200806:00:00"
-1,"10/08/200806:41:00"
1,"10/08/200807:01:00"
-1,"10/08/200811:16:00"
-1,"10/08/200811:49:00"
-1,"10/08/200812:22:00"
1,"10/08/200815:59:00"
-1,"10/08/200819:07:00"
1,"10/08/200820:07:00"
1,"10/08/200822:26:00"
-1,"11/08/200803:06:00"
-1,"11/08/200804:09:00"
-1,"11/08/200805:15:00"
-1,"11/08/200811:35:00"
-1,"11/08/200812:38:00"
-1,"12/08/200804:23:00"
-1,"12/08/200806:16:00"
-1,"12/08/200810:54:00"
-1,"12/08/200811:29:00"
-1,"12/08/200812:04:00"
-1,"13/08/200802:48:00"
-1,"15/08/200803:26:00"
-1,"15/08/200804:14:00"
-1,"15/08/200805:13:00"
-1,"15/08/200809:38:00"
-1,"15/08/200810:14:00"
-1,"15/08/200811:42:00"
-1,"15/08/200818:19:00"
-1,"15/08/200819:19:00"
-1,"15/08/200820:00:00"
-1,"15/08/200820:03:00"
-1,"15/08/200823:31:00"
-1,"16/08/200802:21:00"
-1,"16/08/200805:47:00"
-1,"16/08/200806:52:00"
-1,"16/08/200807:33:00"
-1,"16/08/200808:39:00"
-1,"16/08/200808:41:00"
1,"16/08/200809:44:00"
-1,"16/08/200813:51:00"
-1,"16/08/200814:30:00"
-1,"16/08/200815:16:00"
1,"16/08/200815:19:00"
-1,"16/08/200823:48:00"
-1,"17/08/200800:52:00"
-1,"17/08/200801:53:00"
-1,"17/08/200803:17:00"
-1,"17/08/200803:18:00"
-1,"17/08/200803:46:00"
-1,"17/08/200804:19:00"
-1,"17/08/200805:21:00"
1,"17/08/200812:16:00"
-1,"17/08/200813:34:00"
-1,"17/08/200814:21:00"
-1,"17/08/200815:25:00"
1,"17/08/200821:26:00"
1,"17/08/200822:03:00"
-1,"17/08/200822:21:00"
1,"17/08/200823:04:00"
-1,"17/08/200823:20:00"
1,"17/08/200823:55:00"
1,"18/08/200800:02:00"
-1,"18/08/200800:20:00"
1,"18/08/200801:23:00"
1,"18/08/200804:01:00"
-1,"18/08/200804:12:00"
-1,"18/08/200804:35:00"
-1,"18/08/200805:03:00"
-1,"18/08/200805:25:00"
-1,"18/08/200806:07:00"
-1,"18/08/200806:11:00"
-1,"18/08/200806:26:00"
-1,"18/08/200807:11:00"
-1,"18/08/200807:23:00"
-1,"18/08/200807:29:00"
-1,"18/08/200808:18:00"
-1,"18/08/200808:31:00"
-1,"18/08/200810:13:00"
-1,"18/08/200811:04:00"
-1,"18/08/200812:00:00"
-1,"18/08/200812:06:00"
-1,"18/08/200812:22:00"
-1,"18/08/200812:49:00"
-1,"18/08/200813:07:00"
-1,"18/08/200814:01:00"
-1,"18/08/200814:04:00"
-1,"18/08/200814:45:00"
-1,"18/08/200815:00:00"
-1,"18/08/200815:26:00"
-1,"18/08/200815:30:00"
-1,"18/08/200815:33:00"
-1,"18/08/200815:41:00"
-1,"18/08/200816:19:00"
1,"18/08/200817:13:00"
-1,"18/08/200817:16:00"
-1,"18/08/200817:37:00"
-1,"18/08/200819:24:00"
1,"18/08/200819:54:00"
-1,"18/08/200823:00:00"
-1,"18/08/200823:03:00"
-1,"18/08/200823:47:00"
-1,"19/08/200801:10:00"
1,"19/08/200803:59:00"
-1,"19/08/200804:58:00"
-1,"19/08/200805:09:00"
-1,"19/08/200805:11:00"
-1,"19/08/200805:11:00"
-1,"19/08/200805:40:00"
-1,"19/08/200805:41:00"
-1,"19/08/200805:53:00"
-1,"19/08/200805:54:00"
1,"19/08/200805:56:00"
-1,"19/08/200806:24:00"
-1,"19/08/200807:43:00"
1,"19/08/200807:58:00"
-1,"19/08/200808:01:00"
-1,"19/08/200808:07:00"
-1,"19/08/200808:33:00"
-1,"19/08/200809:04:00"
-1,"19/08/200809:05:00"
-1,"19/08/200810:46:00"
-1,"19/08/200811:11:00"
-1,"19/08/200811:13:00"
-1,"19/08/200811:13:00"
-1,"19/08/200811:28:00"
-1,"19/08/200811:44:00"
-1,"19/08/200811:46:00"
-1,"19/08/200811:57:00"
-1,"19/08/200811:58:00"
-1,"19/08/200812:30:00"
-1,"19/08/200815:33:00"
-1,"19/08/200818:12:00"
-1,"19/08/200818:12:00"
-1,"19/08/200818:30:00"
-1,"19/08/200818:30:00"
-1,"19/08/200819:38:00"
-1,"19/08/200820:53:00"
-1,"20/08/200800:05:00"
-1,"20/08/200801:33:00"
-1,"20/08/200801:42:00"
-1,"20/08/200802:13:00"
1,"20/08/200802:27:00"
-1,"20/08/200803:00:00"
1,"20/08/200803:12:00"
-1,"20/08/200806:36:00"
-1,"20/08/200807:12:00"
1,"20/08/200808:40:00"
1,"20/08/200809:17:00"
-1,"20/08/200810:26:00"
-1,"20/08/200816:08:00"
-1,"20/08/200816:16:00"
-1,"20/08/200817:09:00"
-1,"20/08/200817:35:00"
-1,"20/08/200817:36:00"
-1,"20/08/200818:29:00"
-1,"20/08/200818:35:00"
1,"20/08/200819:20:00"
-1,"20/08/200820:19:00"
-1,"20/08/200821:33:00"
-1,"20/08/200821:41:00"
-1,"20/08/200821:58:00"
-1,"20/08/200822:13:00"
-1,"20/08/200822:45:00"
-1,"20/08/200823:18:00"
1,"20/08/200823:43:00"
-1,"21/08/200802:11:00"
-1,"21/08/200802:46:00"
-1,"21/08/200804:22:00"
-1,"21/08/200804:29:00"
-1,"21/08/200805:06:00"
-1,"21/08/200805:15:00"
1,"21/08/200806:10:00"
-1,"21/08/200811:22:00"
-1,"21/08/200812:00:00"
-1,"21/08/200812:31:00"
-1,"21/08/200812:33:00"
-1,"21/08/200812:43:00"
-1,"21/08/200812:52:00"
-1,"21/08/200813:11:00"
-1,"21/08/200813:19:00"
-1,"21/08/200813:29:00"
-1,"21/08/200813:45:00"
-1,"21/08/200814:47:00"
-1,"21/08/200815:05:00"
-1,"21/08/200815:06:00"
-1,"21/08/200815:32:00"
-1,"21/08/200815:48:00"
-1,"21/08/200815:50:00"
1,"21/08/200816:19:00"
-1,"21/08/200816:36:00"
-1,"21/08/200817:25:00"
-1,"21/08/200817:44:00"
-1,"21/08/200818:04:00"
1,"21/08/200818:05:00"
-1,"21/08/200818:39:00"
-1,"21/08/200818:53:00"
-1,"21/08/200819:12:00"
-1,"21/08/200819:12:00"
-1,"21/08/200819:46:00"
-1,"21/08/200820:19:00"
-1,"21/08/200820:21:00"
-1,"21/08/200820:37:00"
-1,"21/08/200821:32:00"
-1,"21/08/200822:25:00"
-1,"21/08/200822:41:00"
-1,"21/08/200823:08:00"
-1,"21/08/200823:27:00"
-1,"21/08/200823:53:00"
-1,"21/08/200823:57:00"
-1,"22/08/200800:43:00"
-1,"22/08/200800:44:00"
-1,"22/08/200800:47:00"
1,"22/08/200801:04:00"
-1,"22/08/200801:26:00"
-1,"22/08/200801:27:00"
-1,"22/08/200801:54:00"
-1,"22/08/200802:01:00"
-1,"22/08/200802:25:00"
-1,"22/08/200802:52:00"
-1,"22/08/200803:18:00"
-1,"22/08/200803:58:00"
-1,"22/08/200804:40:00"
-1,"22/08/200804:57:00"
-1,"22/08/200805:21:00"
-1,"22/08/200805:31:00"
-1,"22/08/200805:32:00"
1,"22/08/200806:00:00"
-1,"22/08/200807:04:00"
-1,"22/08/200807:17:00"
-1,"22/08/200807:27:00"
-1,"22/08/200809:29:00"
-1,"22/08/200809:29:00"
-1,"22/08/200810:01:00"
-1,"22/08/200810:18:00"
-1,"22/08/200810:47:00"
-1,"22/08/200811:32:00"
-1,"22/08/200812:13:00"
-1,"22/08/200812:37:00"
-1,"22/08/200812:42:00"
-1,"22/08/200813:22:00"
-1,"22/08/200814:45:00"
-1,"22/08/200815:25:00"
-1,"22/08/200815:39:00"
-1,"22/08/200815:54:00"
1,"22/08/200819:14:00"
-1,"22/08/200823:46:00"
-1,"22/08/200823:47:00"
-1,"22/08/200823:49:00"
-1,"22/08/200823:56:00"
-1,"23/08/200802:04:00"
-1,"23/08/200803:26:00"
-1,"23/08/200804:50:00"
-1,"23/08/200804:52:00"
-1,"23/08/200805:57:00"
-1,"23/08/200805:57:00"
-1,"23/08/200805:58:00"
-1,"23/08/200805:58:00"
-1,"23/08/200809:24:00"
-1,"23/08/200812:58:00"
-1,"23/08/200813:02:00"
-1,"23/08/200815:10:00"
1,"23/08/200815:29:00"
-1,"24/08/200802:32:00"
-1,"24/08/200804:00:00"
-1,"24/08/200807:12:00"
-1,"24/08/200807:14:00"
-1,"24/08/200810:09:00"
-1,"24/08/200810:14:00"
1,"24/08/200813:03:00"
-1,"25/08/200809:29:00"
-1,"27/08/200800:46:00"
-1,"27/08/200811:38:00"
-1,"27/08/200812:22:00"
-1,"27/08/200813:35:00"
-1,"27/08/200814:18:00"
-1,"27/08/200817:14:00"
-1,"27/08/200822:48:00"
-1,"27/08/200822:58:00"
-1,"28/08/200803:03:00"
-1,"28/08/200803:04:00"
-1,"28/08/200803:29:00"
-1,"28/08/200803:38:00"
-1,"28/08/200803:45:00"
-1,"28/08/200804:10:00"
-1,"28/08/200804:20:00"
-1,"28/08/200804:54:00"
-1,"28/08/200805:00:00"
-1,"28/08/200806:15:00"
-1,"28/08/200806:39:00"
-1,"28/08/200806:56:00"
-1,"28/08/200807:40:00"
-1,"28/08/200807:51:00"
-1,"28/08/200808:41:00"
-1,"28/08/200809:46:00"
-1,"28/08/200809:49:00"
-1,"28/08/200810:15:00"
-1,"28/08/200810:28:00"
-1,"28/08/200810:32:00"
-1,"28/08/200811:19:00"
-1,"28/08/200812:44:00"
-1,"28/08/200814:48:00"
-1,"28/08/200815:19:00"
-1,"28/08/200816:01:00"
-1,"28/08/200816:43:00"
-1,"28/08/200816:52:00"
-1,"28/08/200817:21:00"
-1,"28/08/200817:27:00"
-1,"28/08/200817:32:00"
-1,"28/08/200818:05:00"
-1,"28/08/200818:10:00"
-1,"28/08/200818:15:00"
-1,"28/08/200818:25:00"
-1,"28/08/200818:47:00"
-1,"28/08/200818:57:00"
-1,"28/08/200820:20:00"
1,"28/08/200820:39:00"
-1,"28/08/200821:03:00"
-1,"28/08/200821:52:00"
-1,"28/08/200822:57:00"
-1,"28/08/200823:40:00"
-1,"28/08/200823:42:00"
-1,"29/08/200800:49:00"
-1,"29/08/200801:06:00"
-1,"29/08/200802:38:00"
-1,"29/08/200802:39:00"
-1,"29/08/200803:27:00"
-1,"29/08/200803:33:00"
-1,"29/08/200803:46:00"
1,"29/08/200804:55:00"
-1,"29/08/200804:56:00"
-1,"29/08/200805:16:00"
-1,"29/08/200805:54:00"
-1,"29/08/200805:54:00"
-1,"29/08/200805:57:00"
-1,"29/08/200805:57:00"
-1,"29/08/200806:35:00"
-1,"29/08/200806:37:00"
-1,"29/08/200806:40:00"
1,"29/08/200806:45:00"
-1,"29/08/200806:54:00"
-1,"29/08/200807:18:00"
-1,"29/08/200807:22:00"
-1,"29/08/200807:24:00"
-1,"29/08/200807:33:00"
-1,"29/08/200807:33:00"
-1,"29/08/200808:10:00"
-1,"29/08/200808:20:00"
-1,"29/08/200808:41:00"
-1,"29/08/200808:45:00"
-1,"29/08/200812:21:00"
-1,"29/08/200812:22:00"
-1,"29/08/200812:37:00"
-1,"29/08/200813:04:00"
-1,"29/08/200813:14:00"
-1,"29/08/200813:27:00"
-1,"29/08/200813:49:00"
-1,"29/08/200814:11:00"
-1,"29/08/200814:18:00"
-1,"29/08/200814:30:00"
-1,"29/08/200815:01:00"
-1,"29/08/200815:43:00"
-1,"29/08/200816:26:00"
-1,"29/08/200820:21:00"
-1,"29/08/200820:49:00"
-1,"29/08/200821:25:00"
-1,"29/08/200821:46:00"
-1,"29/08/200821:54:00"
-1,"29/08/200822:11:00"
-1,"29/08/200822:45:00"
-1,"29/08/200822:49:00"
-1,"29/08/200822:56:00"
-1,"30/08/200800:01:00"
-1,"30/08/200800:05:00"
-1,"30/08/200800:57:00"
-1,"30/08/200801:29:00"
-1,"30/08/200802:08:00"
-1,"30/08/200802:22:00"
-1,"30/08/200802:32:00"
-1,"30/08/200802:39:00"
-1,"30/08/200802:50:00"
-1,"30/08/200803:10:00"
-1,"30/08/200804:20:00"
-1,"30/08/200804:24:00"
-1,"30/08/200804:55:00"
-1,"30/08/200805:05:00"
-1,"30/08/200805:05:00"
-1,"30/08/200805:38:00"
-1,"30/08/200805:51:00"
-1,"30/08/200807:50:00"
-1,"30/08/200807:54:00"
-1,"30/08/200808:10:00"
-1,"30/08/200808:29:00"
-1,"30/08/200808:42:00"
-1,"30/08/200808:53:00"
-1,"30/08/200809:13:00"
-1,"30/08/200809:37:00"
1,"30/08/200809:45:00"
-1,"30/08/200810:15:00"
-1,"30/08/200810:16:00"
-1,"30/08/200811:12:00"
-1,"30/08/200811:14:00"
-1,"30/08/200811:18:00"
-1,"30/08/200811:57:00"
1,"30/08/200814:10:00"
-1,"30/08/200814:23:00"
-1,"30/08/200814:37:00"
-1,"30/08/200815:06:00"
-1,"30/08/200815:16:00"
-1,"30/08/200815:37:00"
-1,"30/08/200815:50:00"
-1,"30/08/200815:57:00"
-1,"30/08/200816:24:00"
-1,"30/08/200817:05:00"
-1,"30/08/200817:49:00"
-1,"30/08/200819:21:00"
-1,"30/08/200819:27:00"
-1,"30/08/200820:11:00"
-1,"30/08/200820:53:00"
-1,"30/08/200821:53:00"
-1,"30/08/200823:51:00"
-1,"31/08/200802:57:00"
1,"31/08/200804:46:00"
-1,"31/08/200805:05:00"
-1,"31/08/200809:11:00"
-1,"31/08/200810:36:00"
1,"31/08/200810:59:00"
-1,"31/08/200810:59:00"
-1,"31/08/200811:03:00"
-1,"31/08/200815:09:00"
-1,"31/08/200815:13:00"
-1,"31/08/200816:32:00"
-1,"31/08/200820:24:00"
-1,"31/08/200821:04:00"
-1,"31/08/200821:46:00"
-1,"31/08/200821:58:00"
-1,"31/08/200822:32:00"
-1,"31/08/200822:48:00"
-1,"31/08/200822:57:00"
-1,"01/09/200800:01:00"
-1,"01/09/200800:39:00"
-1,"01/09/200800:45:00"
-1,"01/09/200800:53:00"
-1,"01/09/200805:29:00"
-1,"01/09/200805:32:00"
-1,"01/09/200806:12:00"
-1,"01/09/200806:21:00"
-1,"01/09/200806:52:00"
-1,"01/09/200808:18:00"
-1,"01/09/200809:06:00"
-1,"01/09/200809:19:00"
-1,"01/09/200809:54:00"
-1,"01/09/200810:57:00"
-1,"01/09/200811:40:00"
-1,"01/09/200816:20:00"
1,"01/09/200819:54:00"
-1,"01/09/200820:51:00"
-1,"01/09/200822:05:00"
-1,"01/09/200823:05:00"
-1,"01/09/200823:19:00"
-1,"01/09/200823:24:00"
-1,"01/09/200823:28:00"
-1,"01/09/200823:39:00"
-1,"01/09/200823:45:00"
-1,"01/09/200823:59:00"
-1,"02/09/200800:26:00"
-1,"02/09/200800:31:00"
-1,"02/09/200800:46:00"
-1,"02/09/200801:09:00"
-1,"02/09/200801:10:00"
-1,"02/09/200801:10:00"
-1,"02/09/200801:36:00"
-1,"02/09/200801:50:00"
-1,"02/09/200802:02:00"
-1,"02/09/200802:11:00"
-1,"02/09/200802:50:00"
-1,"02/09/200802:52:00"
-1,"02/09/200803:33:00"
-1,"02/09/200803:35:00"
-1,"02/09/200803:35:00"
-1,"02/09/200804:19:00"
-1,"02/09/200804:22:00"
-1,"02/09/200805:46:00"
-1,"02/09/200806:03:00"
-1,"02/09/200806:19:00"
-1,"02/09/200806:32:00"
-1,"02/09/200806:48:00"
-1,"02/09/200807:22:00"
-1,"02/09/200807:32:00"
-1,"02/09/200808:15:00"
-1,"02/09/200808:54:00"
-1,"02/09/200809:36:00"
-1,"02/09/200809:37:00"
-1,"02/09/200810:13:00"
-1,"02/09/200810:21:00"
-1,"02/09/200810:25:00"
-1,"02/09/200810:33:00"
-1,"02/09/200811:08:00"
-1,"02/09/200811:22:00"
-1,"02/09/200811:47:00"
-1,"02/09/200811:49:00"
-1,"02/09/200812:01:00"
-1,"02/09/200812:17:00"
-1,"02/09/200812:26:00"
-1,"02/09/200812:30:00"
-1,"02/09/200812:44:00"
-1,"02/09/200813:05:00"
-1,"02/09/200813:08:00"
-1,"02/09/200813:27:00"
-1,"02/09/200813:40:00"
-1,"02/09/200814:09:00"
-1,"02/09/200814:21:00"
-1,"02/09/200814:34:00"
-1,"02/09/200815:29:00"
-1,"02/09/200816:10:00"
-1,"02/09/200816:50:00"
-1,"02/09/200816:54:00"
-1,"02/09/200816:58:00"
-1,"02/09/200817:10:00"
-1,"02/09/200817:18:00"
-1,"02/09/200818:38:00"
-1,"02/09/200818:52:00"
-1,"02/09/200819:18:00"
-1,"02/09/200820:18:00"
-1,"02/09/200820:52:00"
-1,"02/09/200820:58:00"
-1,"02/09/200820:59:00"
-1,"03/09/200800:18:00"
-1,"03/09/200800:45:00"
-1,"03/09/200800:58:00"
1,"03/09/200801:15:00"
-1,"03/09/200801:32:00"
-1,"03/09/200804:18:00"
-1,"03/09/200806:26:00"
-1,"03/09/200809:38:00"
-1,"03/09/200814:24:00"
-1,"03/09/200814:29:00"
-1,"03/09/200817:22:00"
-1,"03/09/200818:16:00"
-1,"03/09/200818:16:00"
-1,"03/09/200820:00:00"
-1,"03/09/200820:10:00"
-1,"04/09/200808:01:00"
-1,"04/09/200808:22:00"
-1,"04/09/200808:33:00"
-1,"04/09/200808:41:00"
-1,"04/09/200808:53:00"
-1,"04/09/200811:50:00"
-1,"04/09/200814:09:00"
-1,"04/09/200814:11:00"
-1,"04/09/200814:48:00"
-1,"04/09/200816:30:00"
-1,"04/09/200816:41:00"
-1,"04/09/200816:56:00"
-1,"04/09/200817:30:00"
-1,"05/09/200815:30:00"
-1,"05/09/200821:48:00"
-1,"07/09/200800:08:00"
-1,"07/09/200800:12:00"
-1,"07/09/200800:49:00"
-1,"07/09/200810:52:00"
-1,"07/09/200812:04:00"
-1,"07/09/200812:20:00"
-1,"07/09/200813:02:00"
-1,"07/09/200818:02:00"
-1,"07/09/200818:24:00"
-1,"07/09/200818:49:00"
-1,"07/09/200819:29:00"
-1,"07/09/200819:31:00"
-1,"07/09/200820:12:00"
-1,"07/09/200820:50:00"
-1,"07/09/200823:33:00"
-1,"08/09/200800:32:00"
-1,"08/09/200800:40:00"
-1,"08/09/200801:24:00"
-1,"08/09/200803:32:00"
-1,"08/09/200803:48:00"
-1,"08/09/200804:21:00"
-1,"08/09/200806:37:00"
-1,"08/09/200807:14:00"
-1,"08/09/200807:41:00"
-1,"08/09/200818:46:00"
-1,"08/09/200819:14:00"
-1,"08/09/200819:15:00"
-1,"08/09/200819:25:00"
-1,"08/09/200819:33:00"
-1,"08/09/200820:00:00"
-1,"08/09/200821:36:00"
-1,"08/09/200821:53:00"
-1,"08/09/200822:17:00"
-1,"09/09/200800:25:00"
-1,"09/09/200803:53:00"
-1,"09/09/200808:44:00"
-1,"10/09/200807:26:00"
-1,"10/09/200809:21:00"
-1,"10/09/200820:52:00"
-1,"10/09/200820:53:00"
-1,"10/09/200821:56:00"
-1,"10/09/200823:30:00"
-1,"10/09/200823:43:00"
-1,"11/09/200800:17:00"
-1,"11/09/200805:20:00"
-1,"11/09/200806:04:00"
-1,"11/09/200807:43:00"
